dataset_id,dataset_group,provider,status,rows,features,classes,missing_values,missing_fraction,duplicate_rows,constant_features,canonical_size_mb,split_strategy,n_groups,n_domains,has_group_artifact,has_domain_artifact,license,download_mode,source_version,sha256
iris,controlled_real,sklearn,available,150,4,3.0,0,0.0,1,0,0.004,kfold,0,0,False,False,BSD-3-Clause,auto,pinned_by_environment,fca9193b36c764d74e630007cd89b50cb4885fbdb90bb18b3cb4b6f4fd18ea8e
wine,controlled_real,sklearn,available,178,13,3.0,0,0.0,0,0,0.0159,kfold,0,0,False,False,BSD-3-Clause,auto,pinned_by_environment,9c8580fa2ade84f8f0b0bcac71d15dbdf621b76c35ce692451f51276fcdb6a66
seeds,controlled_real,openml,available,210,7,3.0,0,0.0,0,0,0.0128,kfold,0,0,False,False,CC BY 4.0,auto,1,eb5fe83aed7da08678bedbe5946a418e3554ef4c7aa2a3e57849d8c47b1ac26b
glass,controlled_real,openml,available,214,9,6.0,0,0.0,1,0,0.0116,kfold,0,0,False,False,CC BY 4.0,auto,1,8144f943f20b753838aca77e1eff86dc8fa4c63b81423eacfb2cd36824d5acc9
ecoli,controlled_real,openml,available,336,7,8.0,0,0.0,0,0,0.0073,kfold,0,0,False,False,CC BY 4.0,auto,1,605ec1051758c230f488fa73dcd09b9af3ed38af81db83f466412aa6fad197c1
yeast,controlled_real,openml,available,1484,8,10.0,0,0.0,31,0,0.0138,kfold,0,0,False,False,CC BY 4.0,auto,1,a9b5bc2de7ba28aa21bbed997a335e778d9075cc42f4079f9f58aea71c14bc70
vehicle_silhouettes,controlled_real,openml,available,846,18,4.0,0,0.0,0,0,0.0288,kfold,0,0,False,False,CC BY 4.0,auto,1,968d429f6bcb8e22d6eb008529c800e4555ff5c8bd3d6e632605ca04e1e4c676
image_segmentation,controlled_real,openml,available,2310,18,7.0,0,0.0,242,1,0.1278,kfold,0,0,False,False,CC BY 4.0,auto,1,6ee5c68d7e68a8113f5c63cabcacf882b5eae95a6b10d88842258e28cca0deae
satimage,controlled_real,openml,available,6430,36,6.0,0,0.0,0,0,0.228,kfold,0,0,False,False,CC BY 4.0,auto,1,9c5017241b47bccc45ef3f01be08f0e54aa6aa7b96a680c23df669074261ffc0
pendigits,controlled_real,openml,available,10992,16,10.0,0,0.0,0,0,0.1626,kfold,0,0,False,False,CC BY 4.0,auto,1,008bcbacf0d3652147e9623dbebc8ef585acd7976a3e96d0b3a2fb8a4500b0ea
optdigits,controlled_real,openml,available,5620,64,10.0,0,0.0,0,2,0.1956,kfold,0,0,False,False,CC BY 4.0,auto,1,a2c55d1b5d97be54078c44f1ac331c5c576aa762c04ce731644306c61282f164
letter_recognition,controlled_real,openml,available,20000,16,26.0,0,0.0,1332,0,0.1633,kfold,0,0,False,False,CC BY 4.0,auto,1,58e96244c0ace53a8e1233f7b6e22a9305bcf25844b39b36ecda169cfcf7988b
banknote_authentication,controlled_real,openml,available,1372,4,2.0,0,0.0,24,0,0.0463,kfold,0,0,False,False,CC BY 4.0,auto,1,aaefdd0c365ff786ba220ab87e33d9eaa64cf4a4bce8b104fd5a01143dc6ba2c
ionosphere,controlled_real,openml,available,351,34,2.0,0,0.0,1,1,0.0908,kfold,0,0,False,False,CC BY 4.0,auto,1,c4afc12f522210d1b7b01ac8667e2c6f5b9ec4096c4958cc20081bd1a3a4cbaa
sonar,controlled_real,openml,available,208,60,2.0,0,0.0,0,0,0.1265,kfold,0,0,False,False,CC BY 4.0,auto,1,c5fb2e97d8e6a26715a86035bfa5bb7e04ff21fac577b2eea3b66b979b1d6d26
breast_cancer_wisconsin_diagnostic,controlled_real,sklearn,available,569,30,2.0,0,0.0,0,0,0.1374,kfold,0,0,False,False,BSD-3-Clause,auto,pinned_by_environment,bcb3324b84c17418ff575a42edce202c9b12e91a6e0807e8d5cecc38a4df6fe0
pima_diabetes,controlled_real,openml,available,768,8,2.0,0,0.0,0,0,0.0152,kfold,0,0,False,False,CC BY 4.0,auto,1,3337eeebbadbe8a631288bdd143da1eaca043a7a37be188d45b67ab326b8350a
heart_disease,controlled_real,openml,available,294,13,5.0,0,0.0,1,0,0.0099,kfold,0,0,False,False,CC BY 4.0,auto,1,f6c2a80eda93bcd0ce6b725e0498fede496715b350ce521c5583cc90af697a10
haberman_survival,controlled_real,openml,available,306,3,2.0,0,0.0,23,0,0.0038,kfold,0,0,False,False,CC BY 4.0,auto,1,045b8ef34acd5b4d6da15b6de743aec44e595c0657c868f0ac6597aa531883d0
dermatology,controlled_real,openml,available,366,34,6.0,8,0.0006,0,0,0.0279,kfold,0,0,False,False,CC BY 4.0,auto,1,67b5eb59bc1b1788e92c11a8746b28dee06757192e9da2dd26391317ce5d1438
balance_scale,controlled_real,openml,available,625,4,3.0,0,0.0,0,0,0.0032,kfold,0,0,False,False,CC BY 4.0,auto,1,1b41072264f1dfb0b375ee9ea7debaae455347adcd8c80455a36dfca92296641
waveform,controlled_real,openml,available,5000,40,3.0,0,0.0,0,0,0.3555,kfold,0,0,False,False,CC BY 4.0,auto,1,295ee8ce7ecd766dd8d87402ebe680ff12992293d56b0278d5fa8a30465bd7ae
spambase,controlled_real,openml,available,4601,57,2.0,0,0.0,394,0,0.2264,kfold,0,0,False,False,CC BY 4.0,auto,1,47da2effa88d256b36dae82e1f6fbff7aa25e8e372190f9f30d8c310133d7297
mice_protein_expression,controlled_real,uci,available,1080,77,8.0,1396,0.0168,0,0,0.7732,group_kfold,72,0,True,False,CC BY 4.0,auto,1,298f546a9ac28a874f73ed5d3b6d71f94af7b271d18bbd7124ff0cae999bdbb1
human_activity_recognition,controlled_real,uci,available,10299,561,6.0,0,0.0,0,0,29.3305,group_kfold,30,0,True,False,CC BY 4.0,auto,1,a1cd3df518437455a9d8a6063287f82199257d929791ee4d99eaa53e67a7e88c
isolet,controlled_real,openml,available,7797,617,26.0,0,0.0,0,0,17.0106,kfold,0,0,False,False,CC BY 4.0,auto,1,6dde01eba74ef0304a9faa8ff52079fe9691fde5d9edbe3976c3324edb24d716
