dataset_id,scenario_id,outer_fold,source_rows,target_rows,raw_features,encoded_features,numeric_features,categorical_features,ordinal_features,boolean_features,source_missing_before,target_missing_before,source_missing_after,target_missing_after,unseen_target_category_occurrences,unseen_target_category_columns,source_all_finite,target_all_finite,canonical_or_scenario_input_sha256,split_protocol_sha256,preprocessing_config_sha256,split_sha256
iris,default,0,120,30,4,4,4,0,0,0,0,0,0,0,0,[],True,True,06a7bea1035adc450f695977cf5ff01ec45cd7cb140a5e8f23ad103da0949a27,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,62ecc40875d3cfe3850f993be5f18833054436c5c38b7f9262e9de2ad6da47d8
iris,default,1,120,30,4,4,4,0,0,0,0,0,0,0,0,[],True,True,06a7bea1035adc450f695977cf5ff01ec45cd7cb140a5e8f23ad103da0949a27,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,77e2f94ddb35822d31b18fae805eaa7a60a0a5972c88b0b904dde24dd866c0d4
iris,default,2,120,30,4,4,4,0,0,0,0,0,0,0,0,[],True,True,06a7bea1035adc450f695977cf5ff01ec45cd7cb140a5e8f23ad103da0949a27,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,cc90a87b53fca273b7c14792e7d22e3a91499bdcd04c0d391c099799d0b31466
iris,default,3,120,30,4,4,4,0,0,0,0,0,0,0,0,[],True,True,06a7bea1035adc450f695977cf5ff01ec45cd7cb140a5e8f23ad103da0949a27,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,e60af7ef49846cc4df27339327be3fb1dd554e4bcfb87595b4547231f90b4ee8
iris,default,4,120,30,4,4,4,0,0,0,0,0,0,0,0,[],True,True,06a7bea1035adc450f695977cf5ff01ec45cd7cb140a5e8f23ad103da0949a27,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,5d9f354d8737f2e6c71078c8f8bf4a8255e32d65c6bf5c8b6984d493af6cd64e
wine,default,0,142,36,13,13,13,0,0,0,0,0,0,0,0,[],True,True,e8e4dc77b2c204df11aa1323495507605c5f904eb1175ef5a9629f3cd9dc821b,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,50b7abaa29af503d480a79a09b2cc75ace1c2c7ee0364a085a2dacc90c0b6db3
wine,default,1,142,36,13,13,13,0,0,0,0,0,0,0,0,[],True,True,e8e4dc77b2c204df11aa1323495507605c5f904eb1175ef5a9629f3cd9dc821b,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,bf619bb65209a4d41ebe8e3e21e1ce009f553c5d47d3f90658e67e3f300db618
wine,default,2,142,36,13,13,13,0,0,0,0,0,0,0,0,[],True,True,e8e4dc77b2c204df11aa1323495507605c5f904eb1175ef5a9629f3cd9dc821b,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,4a6a0513e35d2ae6c3b399d025c39291f208d6408efed55c322eb5c336100ec2
wine,default,3,143,35,13,13,13,0,0,0,0,0,0,0,0,[],True,True,e8e4dc77b2c204df11aa1323495507605c5f904eb1175ef5a9629f3cd9dc821b,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,22c97eee880dc8b5afb7b6a6196b27a5ec8baafe20f589e0412049e0448aa1a1
wine,default,4,143,35,13,13,13,0,0,0,0,0,0,0,0,[],True,True,e8e4dc77b2c204df11aa1323495507605c5f904eb1175ef5a9629f3cd9dc821b,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,c1d02df3937db7705ed07059b5d984dce2783daebe0efcd2b12c03396a825c68
seeds,default,0,168,42,7,7,7,0,0,0,0,0,0,0,0,[],True,True,b3cc7798de38b4f5b40a3c0e9c6afe0d0368422198cadfc4c80412cc739c8dc9,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,6f6544fa56400abeb4252d308422ae187fb3a56a4e8e315e252880c452cdea29
seeds,default,1,168,42,7,7,7,0,0,0,0,0,0,0,0,[],True,True,b3cc7798de38b4f5b40a3c0e9c6afe0d0368422198cadfc4c80412cc739c8dc9,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,bac169778a79e5a1e490aff9f8056cb1961365a1af9d7de5bf4e3eb82b76a052
seeds,default,2,168,42,7,7,7,0,0,0,0,0,0,0,0,[],True,True,b3cc7798de38b4f5b40a3c0e9c6afe0d0368422198cadfc4c80412cc739c8dc9,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,509b0d0224378c8c2f3856bba28b19a59d28b08d1554da6aa494d587c4a3cab8
seeds,default,3,168,42,7,7,7,0,0,0,0,0,0,0,0,[],True,True,b3cc7798de38b4f5b40a3c0e9c6afe0d0368422198cadfc4c80412cc739c8dc9,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,cb6c8e93879a6e95dddf27401c71346aaa026ac77766c12f63c3b1f4a28cd617
seeds,default,4,168,42,7,7,7,0,0,0,0,0,0,0,0,[],True,True,b3cc7798de38b4f5b40a3c0e9c6afe0d0368422198cadfc4c80412cc739c8dc9,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,6aaeb454c2aa6c0e57defdfee1e29abf4aaca23fd411927d1375957caccd9e2e
glass,default,0,171,43,9,9,9,0,0,0,0,0,0,0,0,[],True,True,acc0be0fc68cc97c452475bbe1f35dae27d8dbdf8877445b022b26a4c1da4ba6,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,a1ad8ce85034b98dc553a477bdaec4f4beb603cbeea4138d390aaa2ed1517e63
glass,default,1,171,43,9,9,9,0,0,0,0,0,0,0,0,[],True,True,acc0be0fc68cc97c452475bbe1f35dae27d8dbdf8877445b022b26a4c1da4ba6,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,f9be215f92da3277610c4289d0b55a6c4593f8b857b6e637fb9de21c230a4a39
glass,default,2,171,43,9,9,9,0,0,0,0,0,0,0,0,[],True,True,acc0be0fc68cc97c452475bbe1f35dae27d8dbdf8877445b022b26a4c1da4ba6,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,a9c231ee1a056eea32aaf278239add3191bb3fe20589f082c9cfc48c3c401ae4
glass,default,3,171,43,9,9,9,0,0,0,0,0,0,0,0,[],True,True,acc0be0fc68cc97c452475bbe1f35dae27d8dbdf8877445b022b26a4c1da4ba6,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,91eebf95effb313b622723816ff577a3113e8cfeeff82650dedb378058771790
glass,default,4,172,42,9,9,9,0,0,0,0,0,0,0,0,[],True,True,acc0be0fc68cc97c452475bbe1f35dae27d8dbdf8877445b022b26a4c1da4ba6,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,7f9e1bbe174c9fe4656fb50a25e3c2d7266601bf59317a28042cccb8c242f66e
ecoli,default,0,268,68,7,7,7,0,0,0,0,0,0,0,0,[],True,True,b5ef6012bb4ec53a31808fbfd354ec7463b1ca2aac940be4ede819f6bc5fa2d2,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,acf0c920b022a1b09053d3fb46e75c93550c6166e5a90a5dc91fd99919c4a3a0
ecoli,default,1,269,67,7,7,7,0,0,0,0,0,0,0,0,[],True,True,b5ef6012bb4ec53a31808fbfd354ec7463b1ca2aac940be4ede819f6bc5fa2d2,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,304734e3adc609074346389aa69506289688cf12ff7aed1159fa0172b368a10c
ecoli,default,2,269,67,7,7,7,0,0,0,0,0,0,0,0,[],True,True,b5ef6012bb4ec53a31808fbfd354ec7463b1ca2aac940be4ede819f6bc5fa2d2,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,1001e6d1a0fd7ec14fcb9b56932d04ffaf4043cad9cff9e28cc50ee5b328b993
ecoli,default,3,269,67,7,7,7,0,0,0,0,0,0,0,0,[],True,True,b5ef6012bb4ec53a31808fbfd354ec7463b1ca2aac940be4ede819f6bc5fa2d2,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,f352bad1c8fe3a7e6107a2e28837c6899155e7f9e4a4f6e3d7ad8cd76330ae47
ecoli,default,4,269,67,7,7,7,0,0,0,0,0,0,0,0,[],True,True,b5ef6012bb4ec53a31808fbfd354ec7463b1ca2aac940be4ede819f6bc5fa2d2,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,04483ef74f86786eee291781d57bfa6ea9146f33643d968bf663ad5ad5a29290
yeast,default,0,1187,297,8,8,8,0,0,0,0,0,0,0,0,[],True,True,bbb1ad8a894a4c00778d3713ac65ffdaabf42a343f2b8647ba4e4113109800b2,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,540fc3ded731a624f2f3397ec2264cb80fdc72cc96179ee32b4d049ecd4db368
yeast,default,1,1187,297,8,8,8,0,0,0,0,0,0,0,0,[],True,True,bbb1ad8a894a4c00778d3713ac65ffdaabf42a343f2b8647ba4e4113109800b2,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,50554999ccd979da7a2c576e6a3e4fac370497f04b7ceb76afdab63aeef478a7
yeast,default,2,1187,297,8,8,8,0,0,0,0,0,0,0,0,[],True,True,bbb1ad8a894a4c00778d3713ac65ffdaabf42a343f2b8647ba4e4113109800b2,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,ca743c6d4a3953f8bd6ca3533b9a5a0d4b830378ff2f6060ea99ee0dae9573bb
yeast,default,3,1187,297,8,8,8,0,0,0,0,0,0,0,0,[],True,True,bbb1ad8a894a4c00778d3713ac65ffdaabf42a343f2b8647ba4e4113109800b2,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,9f31c6c52e6130942602a62799d276004fdae191dcdf3b3df4f341fce6e6e37f
yeast,default,4,1188,296,8,8,8,0,0,0,0,0,0,0,0,[],True,True,bbb1ad8a894a4c00778d3713ac65ffdaabf42a343f2b8647ba4e4113109800b2,0e4bd17f13bf34292c29090494bd9a385ca827ec25f405b02eff6375630f7042,2755f713a5f5441b35a44ea637f228a39a6c99be934ceebbf8af3d6c05f8cc01,c7cd46931da29baa4772028c61f52093deda081b696bf60c5f77a8a372ca9910
