grouping_level,n_rows,source_converged_count,source_convergence_rate,candidate_converged_count,candidate_convergence_rate,both_converged_count,both_convergence_rate,usable_count,usable_nonconverged_count,dataset_id,outer_fold,condition,severity,seed
overall,4500,3945,0.8766666666666667,4071,0.9046666666666666,3865,0.8588888888888889,4500,635,,,,,
dataset,375,375,1.0,375,1.0,375,1.0,375,0,breast_cancer_wisconsin_diagnostic,,,,
dataset,375,315,0.84,371,0.9893333333333333,313,0.8346666666666667,375,62,glass,,,,
dataset,375,345,0.92,363,0.968,334,0.8906666666666667,375,41,human_activity_recognition,,,,
dataset,375,360,0.96,373,0.9946666666666667,358,0.9546666666666667,375,17,iris,,,,
dataset,375,0,0.0,31,0.08266666666666667,0,0.0,375,375,letter_recognition,,,,
dataset,375,375,1.0,362,0.9653333333333334,362,0.9653333333333334,375,13,madelon,,,,
dataset,375,345,0.92,372,0.992,342,0.912,375,33,mice_protein_expression,,,,
dataset,375,345,0.92,337,0.8986666666666666,309,0.824,375,66,pendigits,,,,
dataset,375,375,1.0,366,0.976,366,0.976,375,9,satimage,,,,
dataset,375,360,0.96,374,0.9973333333333333,359,0.9573333333333334,375,16,sonar,,,,
dataset,375,375,1.0,375,1.0,375,1.0,375,0,spambase,,,,
dataset,375,375,1.0,372,0.992,372,0.992,375,3,waveform,,,,
fold,900,825,0.9166666666666666,817,0.9077777777777778,810,0.9,900,90,,0.0,,,
fold,900,795,0.8833333333333333,812,0.9022222222222223,779,0.8655555555555555,900,121,,1.0,,,
fold,900,825,0.9166666666666666,817,0.9077777777777778,810,0.9,900,90,,2.0,,,
fold,900,750,0.8333333333333334,806,0.8955555555555555,731,0.8122222222222222,900,169,,3.0,,,
fold,900,750,0.8333333333333334,819,0.91,735,0.8166666666666667,900,165,,4.0,,,
condition,300,263,0.8766666666666667,267,0.89,251,0.8366666666666667,300,49,,,class_prevalence_mild,,
condition,300,263,0.8766666666666667,278,0.9266666666666666,260,0.8666666666666667,300,40,,,class_prevalence_severe,,
condition,300,263,0.8766666666666667,274,0.9133333333333333,261,0.87,300,39,,,clean,,
condition,300,263,0.8766666666666667,274,0.9133333333333333,260,0.8666666666666667,300,40,,,local_overlap_mild,,
condition,300,263,0.8766666666666667,280,0.9333333333333333,259,0.8633333333333333,300,41,,,local_overlap_severe,,
condition,300,263,0.8766666666666667,274,0.9133333333333333,261,0.87,300,39,,,location_mild,,
condition,300,263,0.8766666666666667,274,0.9133333333333333,261,0.87,300,39,,,location_severe,,
condition,300,263,0.8766666666666667,272,0.9066666666666666,260,0.8666666666666667,300,40,,,mcar_mild,,
condition,300,263,0.8766666666666667,266,0.8866666666666667,254,0.8466666666666667,300,46,,,mcar_severe,,
condition,300,263,0.8766666666666667,269,0.8966666666666666,257,0.8566666666666667,300,43,,,measurement_noise_mild,,
condition,300,263,0.8766666666666667,271,0.9033333333333333,260,0.8666666666666667,300,40,,,measurement_noise_severe,,
condition,300,263,0.8766666666666667,273,0.91,260,0.8666666666666667,300,40,,,outliers_mild,,
condition,300,263,0.8766666666666667,252,0.84,240,0.8,300,60,,,outliers_severe,,
condition,300,263,0.8766666666666667,274,0.9133333333333333,261,0.87,300,39,,,scale_mild,,
condition,300,263,0.8766666666666667,273,0.91,260,0.8666666666666667,300,40,,,scale_severe,,
severity,2100,1841,0.8766666666666667,1903,0.9061904761904762,1810,0.861904761904762,2100,290,,,,mild,
