fit_role,dataset_id,outer_fold,condition,seed,K,original_converged,N,D,effective_m,rerun_converged_by_600,rerun_n_iter,rerun_status,status_at_150,status_at_300,status_at_600,shift_at_150,shift_at_300,final_center_shift,final_shift_over_tol,objective_initial,objective_final,objective_relative_reduction,objective_increase_count,tail_shift_increase_fraction,minimum_fuzzy_mass,maximum_fuzzy_mass,mean_max_membership,degenerate,diagnostic_input_path
candidate,breast_cancer_wisconsin_diagnostic,0,class_prevalence_mild,1,2,True,114,30,1.0666666666666667,True,21,SUCCESS,SUCCESS_CONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,,,7.280113411333632e-06,0.7280113411333632,6798.686792796578,2536.6269015178996,0.6268945784933738,0,0.0,51.633580309653794,62.20475158307341,0.991680859291815,False,scenarios/breast_cancer_wisconsin_diagnostic_fold_0_class_prevalence_mild_X_tgt.npy
candidate,breast_cancer_wisconsin_diagnostic,0,class_prevalence_mild,2,2,True,114,30,1.0666666666666667,True,28,SUCCESS,SUCCESS_CONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,,,9.328557881594917e-06,0.9328557881594917,3737.302164516823,2536.6269015203993,0.3212679120238202,0,0.0,51.63375823253235,62.20455796544291,0.9916792641505219,False,scenarios/breast_cancer_wisconsin_diagnostic_fold_0_class_prevalence_mild_X_tgt.npy
candidate,glass,0,class_prevalence_mild,1,6,True,43,9,1.2222222222222223,True,11,SUCCESS,SUCCESS_CONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,,,8.453479379442248e-06,0.8453479379442247,71.40534864547608,50.589194652270145,0.29152093488902464,0,,1.0000084443315653,18.522516074996002,0.9796927368134564,False,scenarios/glass_fold_0_class_prevalence_mild_X_tgt.npy
candidate,glass,0,class_prevalence_mild,2,6,True,43,9,1.2222222222222223,True,14,SUCCESS,SUCCESS_CONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,,,7.745529675473263e-06,0.7745529675473262,83.59156690352022,50.58919465218925,0.39480504402342015,0,,1.0000084443561592,18.522591640162187,0.979694475689893,False,scenarios/glass_fold_0_class_prevalence_mild_X_tgt.npy
candidate,glass,0,local_overlap_mild,5,6,False,43,9,1.2222222222222223,True,195,SUCCESS,MAX_ITER_NONCONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,0.0022237743346802657,,6.5432806843755705e-06,0.654328068437557,111.95188313897353,72.08771798659453,0.3560830245516539,0,0.0,1.0007134982798656,17.767010214343543,0.9598752752954829,False,scenarios/glass_fold_0_local_overlap_mild_X_tgt.npy
candidate,glass,2,class_prevalence_mild,1,6,False,43,9,1.2222222222222223,True,194,SUCCESS,MAX_ITER_NONCONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,0.002985951081786017,,9.499610749648343e-06,0.9499610749648343,126.17167335146476,94.20810119889953,0.25333397983497663,0,0.0,2.00168568162508,20.819919024549968,0.9797420829173165,False,scenarios/glass_fold_2_class_prevalence_mild_X_tgt.npy
candidate,glass,3,local_overlap_mild,2,6,False,43,9,1.2222222222222223,True,222,SUCCESS,MAX_ITER_NONCONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,0.001036315521089712,,8.198069087461473e-06,0.8198069087461473,86.19633747332712,63.51304048713367,0.2631584780874552,0,0.0,2.0055425523238206,14.922749347380373,0.9432993114892846,False,scenarios/glass_fold_3_local_overlap_mild_X_tgt.npy
candidate,glass,3,measurement_noise_severe,1,6,False,43,9,1.2222222222222223,True,165,SUCCESS,MAX_ITER_NONCONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,0.00010983308999436196,,8.786681078461654e-06,0.8786681078461653,141.52162031632503,93.97076873788514,0.3359970827931139,0,0.0,2.0366275250424346,15.922152527001563,0.9189833472556402,False,scenarios/glass_fold_3_measurement_noise_severe_X_tgt.npy
candidate,human_activity_recognition,0,class_prevalence_mild,1,6,True,2067,561,1.01,True,39,SUCCESS,SUCCESS_CONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,,,5.999525813836235e-06,0.5999525813836235,819120.5392571157,477985.6190189613,0.4164648594302611,0,0.10526315789473684,76.97712617249832,761.7049419324328,0.9986773078115195,False,scenarios/human_activity_recognition_fold_0_class_prevalence_mild_X_tgt.npy
candidate,human_activity_recognition,0,class_prevalence_mild,2,6,True,2067,561,1.01,True,70,SUCCESS,SUCCESS_CONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,,,8.070023932700347e-06,0.8070023932700346,838346.167795196,480739.8442597932,0.42656164872308966,0,0.0,67.89904598108829,591.350217191026,0.9972539398645044,False,scenarios/human_activity_recognition_fold_0_class_prevalence_mild_X_tgt.npy
candidate,human_activity_recognition,0,clean,2,6,False,2067,561,1.01,True,164,SUCCESS,MAX_ITER_NEAR_CONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,1.9861230619068352e-05,,9.5196794778206e-06,0.95196794778206,803975.7454569708,456834.8305272901,0.43178033279146955,0,0.0,57.861156131155866,655.5276147229567,0.9959871614420117,False,scenarios/human_activity_recognition_fold_0_clean_X_tgt.npy
candidate,human_activity_recognition,0,local_overlap_mild,1,6,False,2067,561,1.01,True,222,SUCCESS,MAX_ITER_NEAR_CONVERGED,SUCCESS_CONVERGED,SUCCESS_CONVERGED,8.076451178163656e-05,,9.944760255029148e-06,0.9944760255029147,695211.6042811188,433794.7063135919,0.3760249345058677,0,0.0,127.22369144225229,913.0196388787652,0.997202651806296,False,scenarios/human_activity_recognition_fold_0_local_overlap_mild_X_tgt.npy
