dataset_id,N,D,K,clean_ari,source_entropy,prototype_scale,effective_m
breast_cancer_wisconsin_diagnostic,569,30,2,0.6646135867574904,0.059571744571428574,4.759965445794996,1.000208125196093
glass,214,9,6,0.15308083063144295,0.16413276657142858,2.2260572263388894,1.0000309999124817
human_activity_recognition,10299,561,6,0.3733574267963607,0.020848183428571428,18.55671442161633,1.0016554650760703
iris,150,4,3,0.5785229436227738,0.270492112,1.072321587042222,1.0000070526883957
letter_recognition,20000,16,26,0.15307068105708477,0.15998320742857142,2.5266002167363424,1.0000816396132548
madelon,2600,500,2,0.027070874337381538,0.44818353457142857,22.27679185482104,1.0016146924195986
mice_protein_expression,1080,77,8,0.18975419436584762,0.05664084914285714,6.6919223651203446,1.0006107006272242
pendigits,10992,16,10,0.5729399475286777,0.09279582057142857,2.3853450475607842,1.0000816396132548
satimage,6430,36,6,0.5249262672918382,0.03408841342857143,2.8679161636255572,1.0002649191141029
sonar,208,60,2,-0.012071366677000182,0.07961904171428572,7.512180475639101,1.0004791642736182
spambase,4601,57,2,0.22929585340931538,0.07986726371428572,8.25282540634222,1.0004540993141036
waveform,5000,40,3,0.25178583136037963,0.10522860600000002,5.62397140793418,1.0003024574669188
