dataset,N,unique_rows,duplicate_rows_excess,rows_in_duplicate_groups,duplicate_groups,largest_duplicate_group,outer_fold,original_target_rows,original_target_rows_with_source_duplicate,original_target_leakage_fraction,phase7_dataset
aps_failure,76000,76000,0,0,0,1,0,15200,0,0.0,False
aps_failure,76000,76000,0,0,0,1,1,15200,0,0.0,False
aps_failure,76000,76000,0,0,0,1,2,15200,0,0.0,False
aps_failure,76000,76000,0,0,0,1,3,15200,0,0.0,False
aps_failure,76000,76000,0,0,0,1,4,15200,0,0.0,False
balance_scale,625,625,0,0,0,1,0,125,0,0.0,False
balance_scale,625,625,0,0,0,1,1,125,0,0.0,False
balance_scale,625,625,0,0,0,1,2,125,0,0.0,False
balance_scale,625,625,0,0,0,1,3,125,0,0.0,False
balance_scale,625,625,0,0,0,1,4,125,0,0.0,False
bank_marketing,45211,45211,0,0,0,1,0,9043,0,0.0,False
bank_marketing,45211,45211,0,0,0,1,1,9042,0,0.0,False
bank_marketing,45211,45211,0,0,0,1,2,9042,0,0.0,False
bank_marketing,45211,45211,0,0,0,1,3,9042,0,0.0,False
bank_marketing,45211,45211,0,0,0,1,4,9042,0,0.0,False
banknote_authentication,1372,1348,24,35,11,4,0,275,4,0.014545454545454545,False
banknote_authentication,1372,1348,24,35,11,4,1,275,5,0.01818181818181818,False
banknote_authentication,1372,1348,24,35,11,4,2,274,10,0.0364963503649635,False
banknote_authentication,1372,1348,24,35,11,4,3,274,6,0.021897810218978103,False
banknote_authentication,1372,1348,24,35,11,4,4,274,10,0.0364963503649635,False
breast_cancer_wisconsin_diagnostic,569,569,0,0,0,1,0,114,0,0.0,True
breast_cancer_wisconsin_diagnostic,569,569,0,0,0,1,1,114,0,0.0,True
breast_cancer_wisconsin_diagnostic,569,569,0,0,0,1,2,114,0,0.0,True
breast_cancer_wisconsin_diagnostic,569,569,0,0,0,1,3,114,0,0.0,True
breast_cancer_wisconsin_diagnostic,569,569,0,0,0,1,4,113,0,0.0,True
dermatology,366,366,0,0,0,1,0,74,0,0.0,False
dermatology,366,366,0,0,0,1,1,73,0,0.0,False
dermatology,366,366,0,0,0,1,2,73,0,0.0,False
dermatology,366,366,0,0,0,1,3,73,0,0.0,False
dermatology,366,366,0,0,0,1,4,73,0,0.0,False
ecoli,336,336,0,0,0,1,0,68,0,0.0,False
ecoli,336,336,0,0,0,1,1,67,0,0.0,False
ecoli,336,336,0,0,0,1,2,67,0,0.0,False
ecoli,336,336,0,0,0,1,3,67,0,0.0,False
ecoli,336,336,0,0,0,1,4,67,0,0.0,False
electricity,45312,45312,0,0,0,1,0,7552,0,0.0,False
electricity,45312,45312,0,0,0,1,1,7552,0,0.0,False
electricity,45312,45312,0,0,0,1,2,7552,0,0.0,False
electricity,45312,45312,0,0,0,1,3,7552,0,0.0,False
electricity,45312,45312,0,0,0,1,4,7552,0,0.0,False
glass,214,213,1,2,1,2,0,43,0,0.0,True
glass,214,213,1,2,1,2,1,43,1,0.023255813953488372,True
glass,214,213,1,2,1,2,2,43,0,0.0,True
glass,214,213,1,2,1,2,3,43,0,0.0,True
glass,214,213,1,2,1,2,4,42,1,0.023809523809523808,True
haberman_survival,306,283,23,45,22,3,0,62,12,0.1935483870967742,False
haberman_survival,306,283,23,45,22,3,1,61,7,0.11475409836065574,False
haberman_survival,306,283,23,45,22,3,2,61,10,0.16393442622950818,False
haberman_survival,306,283,23,45,22,3,3,61,7,0.11475409836065574,False
haberman_survival,306,283,23,45,22,3,4,61,7,0.11475409836065574,False
heart_disease,294,293,1,2,1,2,0,59,0,0.0,False
heart_disease,294,293,1,2,1,2,1,59,0,0.0,False
heart_disease,294,293,1,2,1,2,2,59,0,0.0,False
heart_disease,294,293,1,2,1,2,3,59,0,0.0,False
heart_disease,294,293,1,2,1,2,4,58,0,0.0,False
human_activity_recognition,10299,10299,0,0,0,1,0,2067,0,0.0,True
human_activity_recognition,10299,10299,0,0,0,1,1,2049,0,0.0,True
human_activity_recognition,10299,10299,0,0,0,1,2,2061,0,0.0,True
human_activity_recognition,10299,10299,0,0,0,1,3,2067,0,0.0,True
human_activity_recognition,10299,10299,0,0,0,1,4,2055,0,0.0,True
image_segmentation,2310,2068,242,470,228,6,0,462,67,0.14502164502164502,False
image_segmentation,2310,2068,242,470,228,6,1,462,80,0.17316017316017315,False
image_segmentation,2310,2068,242,470,228,6,2,462,70,0.15151515151515152,False
image_segmentation,2310,2068,242,470,228,6,3,462,73,0.15800865800865802,False
image_segmentation,2310,2068,242,470,228,6,4,462,82,0.1774891774891775,False
ionosphere,351,350,1,2,1,2,0,71,0,0.0,False
ionosphere,351,350,1,2,1,2,1,70,1,0.014285714285714285,False
ionosphere,351,350,1,2,1,2,2,70,0,0.0,False
ionosphere,351,350,1,2,1,2,3,70,1,0.014285714285714285,False
ionosphere,351,350,1,2,1,2,4,70,0,0.0,False
iris,150,149,1,2,1,2,0,30,0,0.0,True
iris,150,149,1,2,1,2,1,30,0,0.0,True
iris,150,149,1,2,1,2,2,30,1,0.03333333333333333,True
iris,150,149,1,2,1,2,3,30,1,0.03333333333333333,True
iris,150,149,1,2,1,2,4,30,0,0.0,True
isolet,7797,7797,0,0,0,1,0,1560,0,0.0,False
isolet,7797,7797,0,0,0,1,1,1560,0,0.0,False
isolet,7797,7797,0,0,0,1,2,1559,0,0.0,False
isolet,7797,7797,0,0,0,1,3,1559,0,0.0,False
isolet,7797,7797,0,0,0,1,4,1559,0,0.0,False
letter_recognition,20000,18668,1332,2177,845,26,0,4000,377,0.09425,True
letter_recognition,20000,18668,1332,2177,845,26,1,4000,398,0.0995,True
letter_recognition,20000,18668,1332,2177,845,26,2,4000,369,0.09225,True
letter_recognition,20000,18668,1332,2177,845,26,3,4000,380,0.095,True
letter_recognition,20000,18668,1332,2177,845,26,4,4000,387,0.09675,True
madelon,2600,2600,0,0,0,1,0,520,0,0.0,True
madelon,2600,2600,0,0,0,1,1,520,0,0.0,True
madelon,2600,2600,0,0,0,1,2,520,0,0.0,True
madelon,2600,2600,0,0,0,1,3,520,0,0.0,True
madelon,2600,2600,0,0,0,1,4,520,0,0.0,True
mice_protein_expression,1080,1080,0,0,0,1,0,225,0,0.0,True
mice_protein_expression,1080,1080,0,0,0,1,1,225,0,0.0,True
mice_protein_expression,1080,1080,0,0,0,1,2,210,0,0.0,True
mice_protein_expression,1080,1080,0,0,0,1,3,210,0,0.0,True
mice_protein_expression,1080,1080,0,0,0,1,4,210,0,0.0,True
optdigits,5620,5620,0,0,0,1,0,1124,0,0.0,False
optdigits,5620,5620,0,0,0,1,1,1124,0,0.0,False
optdigits,5620,5620,0,0,0,1,2,1124,0,0.0,False
optdigits,5620,5620,0,0,0,1,3,1124,0,0.0,False
optdigits,5620,5620,0,0,0,1,4,1124,0,0.0,False
pendigits,10992,10992,0,0,0,1,0,2199,0,0.0,True
pendigits,10992,10992,0,0,0,1,1,2199,0,0.0,True
pendigits,10992,10992,0,0,0,1,2,2198,0,0.0,True
pendigits,10992,10992,0,0,0,1,3,2198,0,0.0,True
pendigits,10992,10992,0,0,0,1,4,2198,0,0.0,True
pima_diabetes,768,768,0,0,0,1,0,154,0,0.0,False
pima_diabetes,768,768,0,0,0,1,1,154,0,0.0,False
pima_diabetes,768,768,0,0,0,1,2,154,0,0.0,False
pima_diabetes,768,768,0,0,0,1,3,153,0,0.0,False
pima_diabetes,768,768,0,0,0,1,4,153,0,0.0,False
satimage,6430,6430,0,0,0,1,0,1286,0,0.0,True
satimage,6430,6430,0,0,0,1,1,1286,0,0.0,True
satimage,6430,6430,0,0,0,1,2,1286,0,0.0,True
satimage,6430,6430,0,0,0,1,3,1286,0,0.0,True
satimage,6430,6430,0,0,0,1,4,1286,0,0.0,True
seeds,210,210,0,0,0,1,0,42,0,0.0,False
seeds,210,210,0,0,0,1,1,42,0,0.0,False
seeds,210,210,0,0,0,1,2,42,0,0.0,False
seeds,210,210,0,0,0,1,3,42,0,0.0,False
seeds,210,210,0,0,0,1,4,42,0,0.0,False
sonar,208,208,0,0,0,1,0,42,0,0.0,True
sonar,208,208,0,0,0,1,1,42,0,0.0,True
sonar,208,208,0,0,0,1,2,42,0,0.0,True
sonar,208,208,0,0,0,1,3,41,0,0.0,True
sonar,208,208,0,0,0,1,4,41,0,0.0,True
spambase,4601,4207,394,577,183,69,0,921,110,0.11943539630836048,True
spambase,4601,4207,394,577,183,69,1,920,100,0.10869565217391304,True
spambase,4601,4207,394,577,183,69,2,920,104,0.11304347826086956,True
spambase,4601,4207,394,577,183,69,3,920,106,0.11521739130434783,True
spambase,4601,4207,394,577,183,69,4,920,106,0.11521739130434783,True
vehicle_silhouettes,846,846,0,0,0,1,0,170,0,0.0,False
vehicle_silhouettes,846,846,0,0,0,1,1,169,0,0.0,False
vehicle_silhouettes,846,846,0,0,0,1,2,169,0,0.0,False
vehicle_silhouettes,846,846,0,0,0,1,3,169,0,0.0,False
vehicle_silhouettes,846,846,0,0,0,1,4,169,0,0.0,False
waveform,5000,5000,0,0,0,1,0,1000,0,0.0,True
waveform,5000,5000,0,0,0,1,1,1000,0,0.0,True
waveform,5000,5000,0,0,0,1,2,1000,0,0.0,True
waveform,5000,5000,0,0,0,1,3,1000,0,0.0,True
waveform,5000,5000,0,0,0,1,4,1000,0,0.0,True
wine,178,178,0,0,0,1,0,36,0,0.0,False
wine,178,178,0,0,0,1,1,36,0,0.0,False
wine,178,178,0,0,0,1,2,36,0,0.0,False
wine,178,178,0,0,0,1,3,35,0,0.0,False
wine,178,178,0,0,0,1,4,35,0,0.0,False
yeast,1484,1453,31,62,31,2,0,297,13,0.04377104377104377,False
yeast,1484,1453,31,62,31,2,1,297,8,0.026936026936026935,False
yeast,1484,1453,31,62,31,2,2,297,11,0.037037037037037035,False
yeast,1484,1453,31,62,31,2,3,297,10,0.03367003367003367,False
yeast,1484,1453,31,62,31,2,4,296,10,0.033783783783783786,False
