evaluation,outer_group,regressor,feature_block,n_test,selected_params,sum_absolute_error,sum_squared_error,sum_observed,sum_observed_squared,mae,rmse,median_absolute_error,r2,analysis_block
LODO,breast_cancer_wisconsin_diagnostic,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",29.354325689273114,7.101977089628465,24.81335685233106,8.150560022424632,0.08386950196935175,0.14244775573249369,0.04841934371630431,-0.11117541054561397,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LODO,glass,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",17.170445731706884,1.6035566379224906,-0.7049288416137435,0.6535526340045998,0.04905841637630538,0.06768744635502405,0.03637711472762889,-1.4589416708885228,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LODO,human_activity_recognition,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",5.863408956413663,0.18245498119441164,3.0494074803812907,0.15744073527306915,0.01675259701832475,0.022831993917959675,0.012809138821201075,-0.39414312156407605,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LODO,iris,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",34.67319538493389,6.30949564641759,18.139173136831104,7.766071331845114,0.09906627252838254,0.13426514967904357,0.07104843028869248,0.07566541316486364,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LODO,letter_recognition,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",17.591286391832725,2.061539326328509,3.1497756447364464,0.24080136176269423,0.050260818262379214,0.07674706744194593,0.02690492344314646,-8.703398107067732,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LODO,madelon,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",7.414949980622282,0.30884578561498083,1.5764049038391699,0.026220487957843482,0.02118557137320652,0.02970549663494143,0.013904400267185476,-15.15273655952181,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LODO,mice_protein_expression,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",11.067711592860835,0.690286628997768,0.7908115021968756,0.3241835225046412,0.03162203312245953,0.04440999337336355,0.023117809023181488,-1.141109379027594,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LODO,pendigits,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",15.342678559802033,1.8112978609993644,11.82742029042193,2.2932764190565402,0.04383622445657724,0.07193842329181582,0.018010703672279048,0.043461695707538994,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LODO,satimage,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",11.03301966040152,0.911672508289419,13.371230849515484,1.3156907561028328,0.031522913315432916,0.0510370316056158,0.02002025630452278,-0.13270560487472927,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
LODO,sonar,HGBR,Y1_VALIDITY_DELTA_CLEAN_REFERENCE,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",11.926832698598892,1.0458247037819988,-5.302399587978038,0.8418003893897215,0.03407666485313969,0.05466324708827936,0.019879098130231962,-0.3734276320740706,Y1_VALIDITY_DELTA_CLEAN_REFERENCE
