evaluation,outer_group,regressor,feature_block,n_test,selected_params,mae,rmse,median_absolute_error,r2,P0,P3,P4,delta_04,delta_34
LOSFO,class_prevalence,HGBR,P0,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0684624743986076,0.096367620888923,0.0468414425183998,-0.1744241829030686,0.0684624743986076,0.0613376014892596,0.0674832523535558,0.0009792220450517974,-0.0061456508642962066
LOSFO,local_overlap,HGBR,P0,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0684297886405649,0.129906438426671,0.0199372846416422,-0.2283619954491147,0.0684297886405649,0.064553241556901,0.064266091113588,0.0041636975269769005,0.00028715044331299733
LOSFO,location,HGBR,P0,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0382163933076069,0.0629678460549956,0.019607794356484,-0.4095115917716392,0.0382163933076069,0.0336918754428314,0.0411592762989307,-0.0029428829913238017,-0.007467400856099302
LOSFO,mcar,HGBR,P0,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0452505413632033,0.069165030395763,0.0277167451077799,-0.1520068733671,0.0452505413632033,0.0370823877869027,0.0460112076678973,-0.0007606663046939993,-0.008928819880994601
LOSFO,measurement_noise,HGBR,P0,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0393586565903594,0.0487225846126756,0.0294878507118338,-2.926997946954103,0.0393586565903594,0.0389242934101617,0.0336514281541972,0.005707228436162198,0.005272865255964501
LOSFO,outliers,HGBR,P0,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0364647657588673,0.057639067762737,0.0209703095047186,-0.3643663597524638,0.0364647657588673,0.0387442653844486,0.0375278689364214,-0.0010631031775540992,0.0012163964480272002
LOSFO,scale,HGBR,P0,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0385190393370609,0.0524021683979838,0.030069054728196,-1.5459194476521263,0.0385190393370609,0.0287608146359778,0.0335886410886438,0.004930398248417095,-0.004827826452666002
LOSFO,class_prevalence,HGBR,P3,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0613376014892596,0.0936022122917554,0.0345958019811374,-0.1079876957830696,0.0684624743986076,0.0613376014892596,0.0674832523535558,0.0009792220450517974,-0.0061456508642962066
LOSFO,local_overlap,HGBR,P3,600,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.064553241556901,0.1242729055522627,0.0163051517966533,-0.1241335869393052,0.0684297886405649,0.064553241556901,0.064266091113588,0.0041636975269769005,0.00028715044331299733
LOSFO,location,HGBR,P3,600,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0336918754428314,0.0531570692159654,0.0184262456937961,-0.0045071522099819,0.0382163933076069,0.0336918754428314,0.0411592762989307,-0.0029428829913238017,-0.007467400856099302
