evaluation,baseline,learned_block,learned_wins,n_units,sample_mean,sample_median,mean_ci_lower,mean_ci_upper
LODO,B0_mean,P0,3,12,-0.004014167194691852,-0.00435074294625858,-0.006788606396335931,-0.0015608931485578226
LODO,B0_mean,P3,1,12,-0.02123538045833039,-0.011521837192653085,-0.03377707913928705,-0.009274656167750361
LODO,B0_mean,P4,4,12,-0.008204208299647653,-0.006032199613676393,-0.015351095112774542,-0.001929594064339386
LODO,B0_median,P0,3,12,-0.008696498973137769,-0.010705313265366431,-0.013156741413371127,-0.0037677784681903917
LODO,B0_median,P3,1,12,-0.025917712236776302,-0.014807524139550915,-0.03951772734718525,-0.013276126920349893
LODO,B0_median,P4,3,12,-0.01288654007809357,-0.011552232631317567,-0.02278427198692736,-0.003916592329188712
LOSFO,B0_mean,P0,0,7,-0.004659430378596031,-0.003608215586419772,-0.007505378069647434,-0.0028580657443906623
LOSFO,B0_mean,P3,5,7,-0.0001441189943406734,0.00181812952183779,-0.005155535761526582,0.003984953443244155
LOSFO,B0_mean,P4,2,7,-0.0030860169810194467,-0.003336694497983579,-0.0052036809989511375,-0.0008216580435145292
LOSFO,B0_median,P0,1,7,-0.00953021497307961,-0.008698292574756357,-0.0173279671530921,-0.002890605355396818
LOSFO,B0_median,P3,2,7,-0.0050149035888242535,-0.0017285408829778165,-0.013375834298262829,0.0016716026789067677
LOSFO,B0_median,P4,1,7,-0.007956801575503027,-0.0077190705297045595,-0.014100847191322144,-0.002066835865660484
