evaluation,outer_group,feature_block,n_test,mae,rmse,median_absolute_error,r2
LODO,iris,B0_mean,350,0.10910075080084451,0.14404109181979072,0.07625701432319672,-0.06383778750931923
LODO,iris,B0_median,350,0.11008632208161452,0.14805080250967242,0.0763597753709839,-0.12389084820782226
LODO,glass,B0_mean,350,0.036026608062425,0.049123745432117914,0.026851194392526673,-0.29513461689196463
LODO,glass,B0_median,350,0.03157584508183068,0.04345172670354886,0.0216738823259282,-0.013318673509610246
LODO,sonar,B0_mean,350,0.03860406686589039,0.06002455280924784,0.022630133073488733,-0.6560475223193092
LODO,sonar,B0_median,350,0.021513402664547446,0.05043830335330665,0.00404383483723045,-0.1693267031821697
LODO,breast_cancer_wisconsin_diagnostic,B0_mean,350,0.09072868491193524,0.14631121524176147,0.0459978329616869,-0.17226725679747035
LODO,breast_cancer_wisconsin_diagnostic,B0_median,350,0.09121676801070687,0.15137056285065645,0.054651102496466444,-0.2547414678764084
LODO,spambase,B0_mean,350,0.0444352709622425,0.07415446599714613,0.0190648286514236,-0.02416312531535958
LODO,spambase,B0_median,350,0.038341300197536655,0.07787369303279164,0.00606570475596985,-0.12947351945288355
LODO,waveform,B0_mean,350,0.021331668390983438,0.023385094659805483,0.021572994564585238,-2.1065478319159157
LODO,waveform,B0_median,350,0.009538590424500233,0.013401204154232566,0.006347360058992051,-0.020204951555387485
LODO,satimage,B0_mean,350,0.038346550518324314,0.05212230184457556,0.024625648829868445,-0.18139032257694265
LODO,satimage,B0_median,350,0.04283111789177644,0.06001580332322167,0.0252319953301698,-0.5663091402956142
LODO,pendigits,B0_mean,350,0.05219918711836292,0.07519311699588356,0.024513305516731986,-0.04504914000537341
LODO,pendigits,B0_median,350,0.05622478482999926,0.08008499969334865,0.0359149128054239,-0.1854490487619207
LODO,letter_recognition,B0_mean,350,0.0196871365510873,0.027162177580702072,0.01515888452151213,-0.215428564335856
LODO,letter_recognition,B0_median,350,0.015448987507174801,0.02558435664338553,0.00724428676490395,-0.0783239996954217
LODO,madelon,B0_mean,350,0.01646691200909175,0.017933378722442297,0.016974362969921764,-4.887036320054923
LODO,madelon,B0_median,350,0.005812210384941234,0.007637369788925779,0.0038537789434205,-0.06772672407914504
LODO,human_activity_recognition,B0_mean,350,0.017780749863913745,0.022626147170166647,0.01671195710537434,-0.3691180480286864
LODO,human_activity_recognition,B0_median,350,0.013072111371818315,0.020305651522821423,0.007720583909253,-0.10269025786957209
LODO,mice_protein_expression,B0_mean,350,0.02757836935637557,0.03569486157706464,0.02182464679637832,-0.3832122975065382
LODO,mice_protein_expression,B0_median,350,0.020436533623679223,0.030355428514781152,0.012906105137166,-0.00034584625840872185
LOSFO,location,B0_mean,600,0.03551000496466919,0.055071352263828144,0.021600044546401395,-0.07815811938233197
LOSFO,location,B0_median,600,0.02907751039212009,0.05318563331151187,0.0128207996181027,-0.005586991553401033
LOSFO,scale,B0_mean,600,0.03390973827143006,0.0457108975205201,0.025289809679823406,-0.9372498633656923
LOSFO,scale,B0_median,600,0.018719865474808684,0.03511038401763733,0.007725180619184549,-0.14292386406976476
LOSFO,mcar,B0_mean,600,0.04267451316991372,0.06816968475255988,0.021521795371945197,-0.1190886659882957
LOSFO,mcar,B0_median,600,0.044434949963408535,0.07413011765617122,0.01848853340968635,-0.3233395884218677
LOSFO,outliers,B0_mean,600,0.032456609044809626,0.05315054339720345,0.01666076107877282,-0.16014567321490647
LOSFO,outliers,B0_median,600,0.03701572450147078,0.060554985009566145,0.0203070354023683,-0.5059026882896867
LOSFO,measurement_noise,B0_mean,600,0.026606289957611395,0.03407502556432627,0.022852158256676896,-0.9207569704001273
LOSFO,measurement_noise,B0_median,600,0.011890910264151365,0.025203027881321508,0.0047993704292286,-0.050764706249385005
LOSFO,class_prevalence,B0_mean,600,0.06485425881218783,0.09273056055785264,0.037359782372246686,-0.08744795511535841
LOSFO,class_prevalence,B0_median,600,0.059764181823851244,0.08912782505493654,0.031132103212636653,-0.004591104554797276
LOSFO,local_overlap,B0_mean,600,0.06607423252547626,0.12927262886484978,0.013192377445732479,-0.21640495417351424
LOSFO,local_overlap,B0_median,600,0.06708701216490232,0.13368088859970026,0.01116369856127175,-0.30077944769568954
