feature_block,top_fraction,spearman,positive_degradation_mass_capture,event_capture_delta_gt_005
B0_mean,0.1,-0.29301270307840055,0.011400595240628782,0.008849557522123894
B0_mean,0.2,-0.29301270307840055,0.05439103154796053,0.04277286135693215
B0_mean,0.3,-0.29301270307840055,0.0801392297228351,0.05604719764011799
B0_median,0.1,-0.26642520759356586,0.009058993322725329,0.0
B0_median,0.2,-0.26642520759356586,0.053285245906889774,0.030973451327433628
B0_median,0.3,-0.26642520759356586,0.14150187342187942,0.12684365781710916
P0,0.1,-0.07751807133765691,0.06958931232091554,0.084070796460177
P0,0.2,-0.07751807133765691,0.1431774837790838,0.15855457227138642
P0,0.3,-0.07751807133765691,0.16370230637073743,0.16297935103244837
P3,0.1,-0.07286905403459741,0.055558606324072474,0.056784660766961655
P3,0.2,-0.07286905403459741,0.11395963923311873,0.11651917404129794
P3,0.3,-0.07286905403459741,0.14676199018015296,0.14380530973451328
P4,0.1,0.04182034429728781,0.09935743982233557,0.07669616519174041
P4,0.2,0.04182034429728781,0.17462444944578745,0.15781710914454278
P4,0.3,0.04182034429728781,0.26193885925638616,0.2308259587020649
