quantity,n_pairs,severe_gt_mild_fraction,violation_fraction,median_severe_minus_mild
D_X,2100,0.9142857142857143,0.08571428571428572,0.0089251
D_U_R,2100,0.6919047619047619,0.3080952380952381,0.009001100000000001
D_U_C,2100,0.67,0.33,0.008607799999999999
D_V,2100,0.7852380952380953,0.21476190476190476,0.10758704999999999
D_H,2100,0.7538095238095238,0.24619047619047618,0.008655500000000002
D_M,2100,0.6566666666666666,0.3433333333333333,0.0010608
FPC,2100,0.2138095238095238,0.7861904761904762,-0.010340349999999943
PE,2100,0.7804761904761904,0.2195238095238095,0.0164993
XB_soft_m2,2100,0.7095238095238096,0.2904761904761905,0.15010964999999998
silhouette,2100,0.22333333333333333,0.7766666666666666,-0.014584500000000014
delta_ari,2100,0.6514285714285715,0.3485714285714286,0.00631039168511895
