dataset_id,outer_fold,shift_family,method,seed,quantity,severe_minus_mild,violation
breast_cancer_wisconsin_diagnostic,0,class_prevalence,fcm_adaptive,1,D_X,0.0210505,False
breast_cancer_wisconsin_diagnostic,0,class_prevalence,fcm_adaptive,2,D_X,0.0210505,False
breast_cancer_wisconsin_diagnostic,0,class_prevalence,fcm_adaptive,3,D_X,0.0210505,False
breast_cancer_wisconsin_diagnostic,0,class_prevalence,fcm_adaptive,4,D_X,0.0210505,False
breast_cancer_wisconsin_diagnostic,0,class_prevalence,fcm_adaptive,5,D_X,0.0210505,False
breast_cancer_wisconsin_diagnostic,0,local_overlap,fcm_adaptive,1,D_X,0.0011577000000000002,False
breast_cancer_wisconsin_diagnostic,0,local_overlap,fcm_adaptive,2,D_X,0.0011577000000000002,False
breast_cancer_wisconsin_diagnostic,0,local_overlap,fcm_adaptive,3,D_X,0.0011577000000000002,False
breast_cancer_wisconsin_diagnostic,0,local_overlap,fcm_adaptive,4,D_X,0.0011577000000000002,False
breast_cancer_wisconsin_diagnostic,0,local_overlap,fcm_adaptive,5,D_X,0.0011577000000000002,False
breast_cancer_wisconsin_diagnostic,0,location,fcm_adaptive,1,D_X,0.076429,False
breast_cancer_wisconsin_diagnostic,0,location,fcm_adaptive,2,D_X,0.076429,False
breast_cancer_wisconsin_diagnostic,0,location,fcm_adaptive,3,D_X,0.076429,False
breast_cancer_wisconsin_diagnostic,0,location,fcm_adaptive,4,D_X,0.076429,False
breast_cancer_wisconsin_diagnostic,0,location,fcm_adaptive,5,D_X,0.076429,False
breast_cancer_wisconsin_diagnostic,0,mcar,fcm_adaptive,1,D_X,0.0030611000000000006,False
breast_cancer_wisconsin_diagnostic,0,mcar,fcm_adaptive,2,D_X,0.0030611000000000006,False
breast_cancer_wisconsin_diagnostic,0,mcar,fcm_adaptive,3,D_X,0.0030611000000000006,False
breast_cancer_wisconsin_diagnostic,0,mcar,fcm_adaptive,4,D_X,0.0030611000000000006,False
breast_cancer_wisconsin_diagnostic,0,mcar,fcm_adaptive,5,D_X,0.0030611000000000006,False
breast_cancer_wisconsin_diagnostic,0,measurement_noise,fcm_adaptive,1,D_X,0.0014908000000000005,False
breast_cancer_wisconsin_diagnostic,0,measurement_noise,fcm_adaptive,2,D_X,0.0014908000000000005,False
breast_cancer_wisconsin_diagnostic,0,measurement_noise,fcm_adaptive,3,D_X,0.0014908000000000005,False
breast_cancer_wisconsin_diagnostic,0,measurement_noise,fcm_adaptive,4,D_X,0.0014908000000000005,False
breast_cancer_wisconsin_diagnostic,0,measurement_noise,fcm_adaptive,5,D_X,0.0014908000000000005,False
breast_cancer_wisconsin_diagnostic,0,outliers,fcm_adaptive,1,D_X,0.0150601,False
breast_cancer_wisconsin_diagnostic,0,outliers,fcm_adaptive,2,D_X,0.0150601,False
breast_cancer_wisconsin_diagnostic,0,outliers,fcm_adaptive,3,D_X,0.0150601,False
breast_cancer_wisconsin_diagnostic,0,outliers,fcm_adaptive,4,D_X,0.0150601,False
breast_cancer_wisconsin_diagnostic,0,outliers,fcm_adaptive,5,D_X,0.0150601,False
breast_cancer_wisconsin_diagnostic,0,scale,fcm_adaptive,1,D_X,0.089405,False
breast_cancer_wisconsin_diagnostic,0,scale,fcm_adaptive,2,D_X,0.089405,False
breast_cancer_wisconsin_diagnostic,0,scale,fcm_adaptive,3,D_X,0.089405,False
breast_cancer_wisconsin_diagnostic,0,scale,fcm_adaptive,4,D_X,0.089405,False
