signal,scope,group,n,spearman_delta_ari
D_U_R,overall,ALL,4200,0.06140033421526248
D_U_R,dataset,breast_cancer_wisconsin_diagnostic,350,0.14368815527283613
D_U_R,dataset,glass,350,0.12082359427361249
D_U_R,dataset,human_activity_recognition,350,0.01336790518901134
D_U_R,dataset,iris,350,0.08406296537505636
D_U_R,dataset,letter_recognition,350,0.35017153492798186
D_U_R,dataset,madelon,350,0.18123368857920932
D_U_R,dataset,mice_protein_expression,350,0.12235487766453416
D_U_R,dataset,pendigits,350,0.13655194998249348
D_U_R,dataset,satimage,350,0.10432901657131498
D_U_R,dataset,sonar,350,-0.2526581832271408
D_U_R,dataset,spambase,350,0.19941077837242255
D_U_R,dataset,waveform,350,-0.01640538628627639
D_U_R,shift_family,class_prevalence,600,-0.21740022303723994
D_U_R,shift_family,local_overlap,600,-0.035234594551365975
D_U_R,shift_family,location,600,0.1611728596879693
D_U_R,shift_family,mcar,600,-0.1085782803897366
D_U_R,shift_family,measurement_noise,600,-0.07285064184483057
D_U_R,shift_family,outliers,600,0.05454954311062383
D_U_R,shift_family,scale,600,0.2732337548887772
D_U_C,overall,ALL,4200,0.076458834800029
D_U_C,dataset,breast_cancer_wisconsin_diagnostic,350,0.22674232473265973
D_U_C,dataset,glass,350,0.19046216374434663
D_U_C,dataset,human_activity_recognition,350,-0.049085201272527995
D_U_C,dataset,iris,350,0.18125696158199084
D_U_C,dataset,letter_recognition,350,0.42839622014407114
D_U_C,dataset,madelon,350,0.1530338530858349
D_U_C,dataset,mice_protein_expression,350,0.09180411789068885
D_U_C,dataset,pendigits,350,0.13500223001038042
D_U_C,dataset,satimage,350,0.2449223576120343
D_U_C,dataset,sonar,350,-0.23284991630793295
D_U_C,dataset,spambase,350,0.16932343701490213
D_U_C,dataset,waveform,350,-0.0008992411829527322
D_U_C,shift_family,class_prevalence,600,-0.22152875418347734
D_U_C,shift_family,local_overlap,600,-0.012405854203837408
D_U_C,shift_family,location,600,0.18940348153399192
D_U_C,shift_family,mcar,600,-0.07193117831932641
D_U_C,shift_family,measurement_noise,600,-0.05210451257956905
D_U_C,shift_family,outliers,600,0.031323370300920715
D_U_C,shift_family,scale,600,0.2910397950485433
D_V,overall,ALL,4200,0.054361361071368706
D_V,dataset,breast_cancer_wisconsin_diagnostic,350,-0.030065594985089476
D_V,dataset,glass,350,0.07658632074875853
D_V,dataset,human_activity_recognition,350,0.12379758056492376
D_V,dataset,iris,350,0.03149831875589056
D_V,dataset,letter_recognition,350,0.39169873106835856
D_V,dataset,madelon,350,0.11655414913029419
D_V,dataset,mice_protein_expression,350,0.3159346391661126
D_V,dataset,pendigits,350,0.0900867995194498
D_V,dataset,satimage,350,0.02026869490265363
D_V,dataset,sonar,350,-0.11439900960805453
D_V,dataset,spambase,350,-0.11050158375037362
D_V,dataset,waveform,350,0.09725970533590392
D_V,shift_family,class_prevalence,600,-0.15047625266541922
D_V,shift_family,local_overlap,600,-0.07000662728291313
D_V,shift_family,location,600,0.09053366512000527
D_V,shift_family,mcar,600,0.0434601236230225
D_V,shift_family,measurement_noise,600,-0.11664548502825972
D_V,shift_family,outliers,600,0.24212695630892095
D_V,shift_family,scale,600,0.05475081976546729
D_V,metadata,D,4200,-0.12040437801310143
D_V,metadata,K,4200,0.25101625282327583
D_V,metadata,clean_ari,4200,-0.08151932180783801
D_V,metadata,effective_m,4200,-0.12040437801310143
D_V,metadata,source_entropy,4200,-0.08834186235653052
D_V,metadata,prototype_scale,4200,-0.17010625428538617
D_H,overall,ALL,4200,0.012182563580441287
D_H,dataset,breast_cancer_wisconsin_diagnostic,350,0.3056412604330199
D_H,dataset,glass,350,-0.020120670759825324
D_H,dataset,human_activity_recognition,350,0.10078906240059331
D_H,dataset,iris,350,-0.011558463802015109
D_H,dataset,letter_recognition,350,0.026235222911440672
D_H,dataset,madelon,350,0.011045496614185236
D_H,dataset,mice_protein_expression,350,0.3445609216641302
D_H,dataset,pendigits,350,0.06919221682206157
D_H,dataset,satimage,350,0.30819212006562596
D_H,dataset,sonar,350,-0.01097230428515926
D_H,dataset,spambase,350,0.17352482525078486
D_H,dataset,waveform,350,0.12854932500106092
D_H,shift_family,class_prevalence,600,0.04162421496183327
D_H,shift_family,local_overlap,600,0.09770285700427567
D_H,shift_family,location,600,0.10336167387246274
D_H,shift_family,mcar,600,-0.11649066922969577
D_H,shift_family,measurement_noise,600,-0.12475200587342804
D_H,shift_family,outliers,600,-0.07007062718754833
D_H,shift_family,scale,600,0.09664131453108633
D_H,metadata,D,4200,-0.03649985834624051
D_H,metadata,K,4200,-0.23995350793379308
D_H,metadata,clean_ari,4200,-0.3542396795883322
D_H,metadata,effective_m,4200,-0.03649985834624051
D_H,metadata,source_entropy,4200,0.47192072703301546
D_H,metadata,prototype_scale,4200,0.01542411526563851
D_M,overall,ALL,4200,0.12772358649321136
D_M,dataset,breast_cancer_wisconsin_diagnostic,350,0.20946033827871804
D_M,dataset,glass,350,0.25057217335144494
D_M,dataset,human_activity_recognition,350,0.05143235512738532
D_M,dataset,iris,350,0.21298743318948843
D_M,dataset,letter_recognition,350,0.5073474885509269
D_M,dataset,madelon,350,0.27403920145183525
D_M,dataset,mice_protein_expression,350,0.22178353082080385
D_M,dataset,pendigits,350,0.12140657124022272
D_M,dataset,satimage,350,0.14145894315122723
D_M,dataset,sonar,350,-0.20625542695003293
D_M,dataset,spambase,350,0.1586146655535399
D_M,dataset,waveform,350,0.01161517810193308
D_M,shift_family,class_prevalence,600,-0.1916715838111374
D_M,shift_family,local_overlap,600,0.04820937238235485
D_M,shift_family,location,600,0.2152863750695907
D_M,shift_family,mcar,600,-0.013797723653567797
D_M,shift_family,measurement_noise,600,-0.0897557543815226
D_M,shift_family,outliers,600,0.08143138256499206
D_M,shift_family,scale,600,0.19495983388965937
