signal,covariate,n_datasets,spearman
D_X,N,12,-0.7622377622377624
D_X,D,12,-0.16462372005951137
D_X,K,12,-0.1041670429809389
D_X,clean_ari,12,0.23076923076923078
D_X,effective_m,12,-0.16462372005951137
D_X,source_entropy,12,-0.21678321678321683
D_X,prototype_scale,12,-0.2797202797202798
D_U_R,N,12,0.2027972027972028
D_U_R,D,12,0.2206658375265791
D_U_R,K,12,0.6106343898882626
D_U_R,clean_ari,12,-0.3706293706293707
D_U_R,effective_m,12,0.2206658375265791
D_U_R,source_entropy,12,-0.4055944055944056
D_U_R,prototype_scale,12,0.04895104895104895
D_U_C,N,12,0.22377622377622378
D_U_C,D,12,0.3047290137271806
D_U_C,K,12,0.5495709508994363
D_U_C,clean_ari,12,-0.4545454545454546
D_U_C,effective_m,12,0.3047290137271806
D_U_C,source_entropy,12,-0.3706293706293707
D_U_C,prototype_scale,12,0.16083916083916086
D_V,N,12,-0.15384615384615385
D_V,D,12,-0.4658501014450003
D_V,K,12,0.3627886669336148
D_V,clean_ari,12,0.006993006993006993
D_V,effective_m,12,-0.4658501014450003
D_V,source_entropy,12,0.1258741258741259
D_V,prototype_scale,12,-0.4755244755244756
D_H,N,12,-0.6363636363636365
D_H,D,12,-0.1331000289842858
D_H,K,12,-0.3951163699276993
D_H,clean_ari,12,-0.4265734265734266
D_H,effective_m,12,-0.1331000289842858
D_H,source_entropy,12,0.7202797202797203
D_H,prototype_scale,12,0.0
D_M,N,12,-0.09090909090909093
D_M,D,12,0.469352733786692
D_M,K,12,0.07902327398553985
D_M,clean_ari,12,-0.5314685314685316
D_M,effective_m,12,0.469352733786692
D_M,source_entropy,12,-0.07692307692307693
D_M,prototype_scale,12,0.43356643356643365
FPC,N,12,-0.04195804195804196
FPC,D,12,0.469352733786692
FPC,K,12,-0.34842079893624395
FPC,clean_ari,12,0.31468531468531474
FPC,effective_m,12,0.469352733786692
FPC,source_entropy,12,-0.8391608391608393
FPC,prototype_scale,12,0.44755244755244755
PE,N,12,0.055944055944055944
PE,D,12,-0.45534220441992507
PE,K,12,0.3807485019303284
PE,clean_ari,12,-0.2937062937062937
PE,effective_m,12,-0.45534220441992507
PE,source_entropy,12,0.8111888111888113
PE,prototype_scale,12,-0.43356643356643365
XB_soft_m2,N,12,0.2867132867132868
XB_soft_m2,D,12,0.8231186002975568
XB_soft_m2,K,12,-0.2083340859618778
XB_soft_m2,clean_ari,12,-0.5314685314685316
XB_soft_m2,effective_m,12,0.8231186002975568
XB_soft_m2,source_entropy,12,-0.034965034965034975
XB_soft_m2,prototype_scale,12,0.8671328671328673
silhouette,N,12,-0.3216783216783217
silhouette,D,12,-0.5779343363791357
silhouette,K,12,-0.24066178895596227
silhouette,clean_ari,12,0.5944055944055945
silhouette,effective_m,12,-0.5779343363791357
silhouette,source_entropy,12,-0.06293706293706294
silhouette,prototype_scale,12,-0.4825174825174825
