dataset_id,signal,n,mean,median,std,iqr,q05,q95
breast_cancer_wisconsin_diagnostic,D_X,350,0.03040323285714286,0.014585850000000001,0.03549139273925618,0.0263648,0.0035472,0.1051101
glass,D_X,350,0.03699778,0.018893800000000002,0.040008983991913806,0.0333049,0.007929,0.1447356
human_activity_recognition,D_X,350,0.024907615714285715,0.0086225,0.034526264623638336,0.021467100000000003,0.0028785,0.1055289
iris,D_X,350,0.04920520571428572,0.0273302,0.05550616433303227,0.0408452,0.0030379,0.1707832
letter_recognition,D_X,350,0.017683472857142855,0.0018085,0.03117398486854413,0.012437,0.0003444,0.0935628
madelon,D_X,350,0.018413134285714287,0.0026489,0.03183761697776981,0.013270299999999999,0.0009983,0.1000162
mice_protein_expression,D_X,350,0.04521473571428571,0.030749649999999996,0.039413484761467325,0.0310287,0.0109447,0.1291991
pendigits,D_X,350,0.019465204285714285,0.0051687,0.03323208397822284,0.0129833,0.0004317,0.1048167
satimage,D_X,350,0.021048662857142856,0.00359065,0.035587392504669746,0.0150366,0.0004876,0.1089761
sonar,D_X,350,0.03272579857142857,0.017898400000000002,0.03383770367807207,0.023511999999999998,0.0084771,0.1129233
spambase,D_X,350,0.020944144285714283,0.0038675000000000003,0.03919291952003823,0.0112624,0.0006321,0.1458995
waveform,D_X,350,0.019281377142857145,0.0050042,0.031814004163347516,0.0131813,0.0005315,0.1012272
breast_cancer_wisconsin_diagnostic,D_U_R,350,0.07086913171428572,0.03266435,0.08690500550009449,0.072259075,0.00726189,0.3226186
glass,D_U_R,350,0.23424898542857145,0.23450335,0.11537274461567068,0.165348825,0.077914825,0.47534923500000004
human_activity_recognition,D_U_R,350,0.3712530034285714,0.38536170000000003,0.10868042799969872,0.134519175,0.16754877,0.5260170949999999
iris,D_U_R,350,0.13196409685714283,0.06610005,0.13626919096525011,0.1748959,0.0110083,0.37685812
letter_recognition,D_U_R,350,0.3239626137142857,0.30141515,0.0985767602140358,0.10190024999999997,0.20768314499999999,0.542179115
madelon,D_U_R,350,0.13098457885714287,0.033930100000000005,0.17023402172044697,0.346802025,0.014662244999999999,0.425602155
