signal,between_dataset_variance,mean_within_dataset_variance,between_within_ratio
D_X,0.00011908495198235156,0.001394689071445501,0.0853845881641046
D_U_R,0.019435277010391997,0.015452455450840905,1.257746839796542
D_U_C,0.017158409480726448,0.01563885863622255,1.0971650732224365
D_V,0.2587510304046412,3.8370399778944826,0.0674350624166879
D_H,0.004097432170414742,0.003664786865074104,1.1180546976589019
D_M,0.0007852079237735346,0.005476125836224197,0.1433874872961169
FPC,0.005762526737310063,0.0011611085249918925,4.962952741519403
PE,0.02310224265163522,0.004765853843374406,4.847450931327334
XB_soft_m2,106.81093214529322,41.82544788470705,2.5537307440130794
silhouette,0.016514657618697113,0.009840301972913775,1.6782673605093665
