analysis_scope,outer_eval_type,outer_test_group,feature_block,regressor,best_inner_mae,selected_params,tie_broken
primary,LODO,iris,P0,hist_gradient_boosting,0.03616883234919273,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P1,hist_gradient_boosting,0.05894636636415486,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P2,hist_gradient_boosting,0.03924919358567204,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P3,hist_gradient_boosting,0.06011126898154982,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P4,hist_gradient_boosting,0.043675330757386346,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P5,hist_gradient_boosting,0.057772991166141596,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P4_minus_D_U_R,hist_gradient_boosting,0.0433725802105659,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P4_minus_D_U_C,hist_gradient_boosting,0.042671440972841125,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P4_minus_D_V,hist_gradient_boosting,0.0458775236181198,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P4_minus_D_H,hist_gradient_boosting,0.03788259945808274,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P4_minus_D_M,hist_gradient_boosting,0.04495669800280646,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,DX_plus_D_U_R,hist_gradient_boosting,0.03848515837720827,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,DX_plus_D_U_C,hist_gradient_boosting,0.038904780701398425,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,DX_plus_D_V,hist_gradient_boosting,0.035994655656555755,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,DX_plus_D_H,hist_gradient_boosting,0.04098312227303408,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,DX_plus_D_M,hist_gradient_boosting,0.03698007080089377,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,iris,P0,ridge,0.033921769768096535,"{""alpha"": 10000.0}",False
primary,LODO,iris,P1,ridge,0.03461312097539308,"{""alpha"": 10000.0}",False
primary,LODO,iris,P2,ridge,0.033703031121123286,"{""alpha"": 10000.0}",False
primary,LODO,iris,P3,ridge,0.03430103810253759,"{""alpha"": 10000.0}",False
primary,LODO,iris,P4,ridge,0.033657705515427856,"{""alpha"": 10000.0}",False
primary,LODO,iris,P5,ridge,0.034261801624895956,"{""alpha"": 10000.0}",False
primary,LODO,glass,P0,hist_gradient_boosting,0.0479673805693651,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,P1,hist_gradient_boosting,0.06861956695872595,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",False
primary,LODO,glass,P2,hist_gradient_boosting,0.05126819836669041,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,P3,hist_gradient_boosting,0.0676251103981138,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 300, ""max_leaf_nodes"": 15}",False
primary,LODO,glass,P4,hist_gradient_boosting,0.054540206093194835,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,P5,hist_gradient_boosting,0.06505153598072225,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",False
primary,LODO,glass,P4_minus_D_U_R,hist_gradient_boosting,0.054959160864602376,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",False
primary,LODO,glass,P4_minus_D_U_C,hist_gradient_boosting,0.0538463280759382,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,P4_minus_D_V,hist_gradient_boosting,0.058489460744675384,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,P4_minus_D_H,hist_gradient_boosting,0.04994882962274848,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,P4_minus_D_M,hist_gradient_boosting,0.05335353470576635,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,DX_plus_D_U_R,hist_gradient_boosting,0.04881821705190999,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,DX_plus_D_U_C,hist_gradient_boosting,0.0491174251435571,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,DX_plus_D_V,hist_gradient_boosting,0.047643403395926084,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,DX_plus_D_H,hist_gradient_boosting,0.05401109513267701,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,DX_plus_D_M,hist_gradient_boosting,0.049601927592308595,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,glass,P0,ridge,0.044108728799999136,"{""alpha"": 10000.0}",False
primary,LODO,glass,P1,ridge,0.04368790664830955,"{""alpha"": 10000.0}",False
primary,LODO,glass,P2,ridge,0.04433233886152815,"{""alpha"": 10000.0}",False
primary,LODO,glass,P3,ridge,0.04370270608166595,"{""alpha"": 10000.0}",False
primary,LODO,glass,P4,ridge,0.04443251567426805,"{""alpha"": 10000.0}",False
primary,LODO,glass,P5,ridge,0.043465787876870686,"{""alpha"": 10000.0}",False
primary,LODO,sonar,P0,hist_gradient_boosting,0.04949184602392856,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,sonar,P1,hist_gradient_boosting,0.0603562892307658,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,sonar,P2,hist_gradient_boosting,0.050264470640842676,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,sonar,P3,hist_gradient_boosting,0.06337517384822555,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,sonar,P4,hist_gradient_boosting,0.053037707611325,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,sonar,P5,hist_gradient_boosting,0.05834012102106727,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
primary,LODO,sonar,P4_minus_D_U_R,hist_gradient_boosting,0.055159908661457965,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",False
