dataset_id,mae_P0,mae_P3,mae_P4,delta_04,delta_34
iris,0.11619858982166686,0.12198780295533378,0.1152960949734225,0.0009024948482443673,0.00669170798191128
glass,0.04211162183717424,0.08444800478222268,0.04364079578012254,-0.0015291739429482976,0.040807209002100144
sonar,0.03829452509330071,0.03922697006993011,0.061702855216255716,-0.023408330122955005,-0.022475885146325605
breast_cancer_wisconsin_diagnostic,0.09103283790550747,0.09888451123448527,0.08768930269196532,0.003343535213542151,0.011195208542519958
spambase,0.04921614997292601,0.09762432233623113,0.05030432601701731,-0.0010881760440912963,0.04731999631921382
waveform,0.025252275272817103,0.034711819921741646,0.025610724986715353,-0.0003584497138982498,0.009101094935026293
satimage,0.03641532625881323,0.04850317274914137,0.03453555928361718,0.0018797669751960538,0.013967613465524192
pendigits,0.05102021080447482,0.05616513833701214,0.05104568733596641,-2.5476531491583354e-05,0.00511945100104573
letter_recognition,0.024759287445324532,0.0636210043379354,0.03932953665369784,-0.014570249208373305,0.02429146768423756
madelon,0.01935712897011717,0.07505929926436813,0.0541261620953309,-0.03476903312521373,0.020933137169037233
human_activity_recognition,0.03387966710650228,0.023352827026400617,0.02421355081497281,0.009666116291529473,-0.0008607237885721909
mice_protein_expression,0.03291834125915498,0.023525647896639502,0.023241859158164933,0.009676482100990046,0.0002837887384745698
