dataset_id,mae_P0,mae_P1,mae_P2,mae_P3,mae_P4,mae_P5
iris,0.10834543241387591,0.10610566141917366,0.10128317057995222,0.11392705505240755,0.10766091412637703,0.12884800569232102
glass,0.04127202106168594,0.08388496334346134,0.041454519006951074,0.0870476295296561,0.04286997724591555,0.07214856758270821
sonar,0.03710848294017909,0.038035926179598924,0.0637078311033936,0.034536457440627485,0.06397180444229145,0.04280716679012209
breast_cancer_wisconsin_diagnostic,0.08693254328013908,0.08672432578194639,0.08387374166169814,0.09114717714822237,0.08391483741626973,0.08579841343746018
spambase,0.04596315885278448,0.10838086267321777,0.048879680304785345,0.11487451096194623,0.04774688080670133,0.10061007932632583
waveform,0.023065498429470095,0.017026198366711657,0.020237164686675663,0.029199242048554102,0.023839953873887345,0.02347076381394667
satimage,0.03478910668153802,0.04312116811326795,0.033851517708312934,0.04815089793897909,0.03243857115246226,0.045773348111285715
pendigits,0.047878046689190316,0.056086622656218055,0.05020622454679824,0.054435798734524206,0.04904414252823266,0.05228899340081584
letter_recognition,0.022379565403854787,0.04870865853056819,0.01966490842078736,0.06654521590256161,0.03064228557909791,0.047248005587378815
madelon,0.01961118852477135,0.07651136519953007,0.05541531339593929,0.06746971515824561,0.05209794221363296,0.04084617237334666
human_activity_recognition,0.032648813714439305,0.02842105687537062,0.017918795173511873,0.02131381040909794,0.024236419784591207,0.023198857211002632
mice_protein_expression,0.03173175288321313,0.020124515980467814,0.019979264920933677,0.026697938692465083,0.021994593683237893,0.026280269530937313
