D_H,D_M,D_U_C,D_U_C_median,D_U_C_p95,D_U_R,D_U_R_median,D_U_R_p95,D_V,D_V_max,D_V_median,D_X,FPC,K,PE,PE_norm,XB_soft_m2,XB_status,alignment_ambiguous,alignment_best_cost,alignment_global_margin,alignment_permutation,alignment_second_best_cost,candidate_converged,candidate_degenerate,candidate_model_fingerprint,candidate_model_status,condition,current_bank_sha256,dataset_id,entropy_candidate_current,entropy_signed_change,entropy_source_current,mass_candidate_current,mass_source_current,method,mmd_bandwidth_status,mmd_sigma,outer_fold,reference_bank_sha256,runtime_alignment,runtime_candidate_fit,runtime_mmd,runtime_signals,runtime_source_fit,runtime_total,seed,shift_replay_sha256,shift_spec_file_sha256,shift_spec_sha256,signal_protocol_sha256,signal_record_sha256,silhouette,silhouette_status,source_converged,source_degenerate,source_model_fingerprint,source_model_status,usable
0.0228802,0.0053378,0.0690379,1e-07,0.6861626,0.0326649,0.0,0.176398,0.277765,0.2953264,0.277765,0.0348935,0.9777203,2,0.038425,0.0554356,0.5245694,SUCCESS,False,0.3755926,2.0626073,"[1, 0]",2.4381999,True,False,7c00aa8a652c092db10b90cda1394db0e9145f4889d6ab19deacdc3d4978548f,SUCCESS,class_prevalence_mild,27d1b9a912b5f4cda8cfb08777783986d8f8f90e641645bf4061f05b7d1f95ec,breast_cancer_wisconsin_diagnostic,0.0325554,-0.0228802,0.0554356,"[0.5462491, 0.4537509]","[0.4602819, 0.5397181]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00165,0.01955,0.00304,0.00242,0.0,0.0358,1,,254792105615ada9c3858c991b4e81f1599ed80b154a2e45296ee62c0f435df9,c6fc632b58c7594dfc794bb7a23e7dbcb8a2199e1b51424256eb2c780ef3f81c,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,1b59b2e8e27fd090eb5b321ac1c6575b5f628f9d862464ad2cefd6b7ef970ca2,0.2643869,SUCCESS,True,False,50990ddd1107464e2d13bf6fa76cd0d46d4cd668e0f1d0d264d4eafd805a1050,SUCCESS,True
0.0228791,0.0053377,0.0690364,1e-07,0.6861524,0.0326642,0.0,0.1763908,0.2777636,0.2953263,0.2777636,0.0348935,0.97772,2,0.0384255,0.0554363,0.5245689,SUCCESS,False,0.3755899,2.0626093,"[0, 1]",2.4381991,True,False,454713620620de82fff5164eacbbffc2cba0536f02f3b536f40cf486e38b2bae,SUCCESS,class_prevalence_mild,27d1b9a912b5f4cda8cfb08777783986d8f8f90e641645bf4061f05b7d1f95ec,breast_cancer_wisconsin_diagnostic,0.0325571,-0.0228791,0.0554363,"[0.5462482, 0.4537518]","[0.4602824, 0.5397176]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00335,0.03683,0.0,0.00202,0.0,0.05403,2,,254792105615ada9c3858c991b4e81f1599ed80b154a2e45296ee62c0f435df9,c6fc632b58c7594dfc794bb7a23e7dbcb8a2199e1b51424256eb2c780ef3f81c,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,794d681515dc9743b5cae4f0ec1861d8b249acb6b50d62c80cf59b50993ae1ed,0.2643869,SUCCESS,True,False,ca0f9354d6e9308d114c835ba6db1bdd649310b5d297593abe49b1c53ec7c2e2,SUCCESS,True
0.0228799,0.0053379,0.0690381,1e-07,0.6861668,0.0326649,0.0,0.176398,0.277765,0.2953262,0.277765,0.0348935,0.9777205,2,0.0384248,0.0554353,0.5245696,SUCCESS,False,0.3755927,2.0626073,"[0, 1]",2.4382,True,False,e18672d594505be2aabcfe5d60bb137a3704c890826f3789e26a9efbc42fc558,SUCCESS,class_prevalence_mild,27d1b9a912b5f4cda8cfb08777783986d8f8f90e641645bf4061f05b7d1f95ec,breast_cancer_wisconsin_diagnostic,0.0325554,-0.0228799,0.0554353,"[0.5462491, 0.4537509]","[0.4602817, 0.5397183]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00178,0.02268,0.0,0.00222,0.0,0.0369,3,,254792105615ada9c3858c991b4e81f1599ed80b154a2e45296ee62c0f435df9,c6fc632b58c7594dfc794bb7a23e7dbcb8a2199e1b51424256eb2c780ef3f81c,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,0024df935f44654eecdea9d04f7dbf2cd0c27a591c0638cbc6d6fde51bf2147a,0.2643869,SUCCESS,True,False,7a6ac0ae980f2eb22d477da6e0c3274e36d6fa0df450376870e991b511af2d15,SUCCESS,True
0.0228791,0.0053377,0.0690367,1e-07,0.6861561,0.0326643,0.0,0.1763918,0.2777638,0.2953262,0.2777638,0.0348935,0.9777201,2,0.0384253,0.055436,0.5245691,SUCCESS,False,0.3755903,2.062609,"[1, 0]",2.4381993,True,False,ad1bd3a6f825cb8b84eb4066f20a84e9f05dae2378e0f3a050783c06e73e77ef,SUCCESS,class_prevalence_mild,27d1b9a912b5f4cda8cfb08777783986d8f8f90e641645bf4061f05b7d1f95ec,breast_cancer_wisconsin_diagnostic,0.0325569,-0.0228791,0.055436,"[0.5462483, 0.4537517]","[0.4602822, 0.5397178]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00117,0.02003,0.0,0.0023,0.0,0.03267,4,,254792105615ada9c3858c991b4e81f1599ed80b154a2e45296ee62c0f435df9,c6fc632b58c7594dfc794bb7a23e7dbcb8a2199e1b51424256eb2c780ef3f81c,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,b93d1984dd7483654282cd26b4e16668aab9abd74141b2b2e2b1a69bd7a8bea3,0.2643869,SUCCESS,True,False,2595619b87df2f944c3730374321dc102b3c3bd7183bdfbe976e58f651ef44a8,SUCCESS,True
0.0228792,0.0053377,0.0690368,1e-07,0.686156,0.0326644,0.0,0.1763921,0.2777639,0.2953262,0.2777639,0.0348935,0.9777201,2,0.0384253,0.055436,0.524569,SUCCESS,False,0.3755904,2.0626089,"[0, 1]",2.4381993,True,False,5176e58159c0b68ce43339de0a21d840751b9a5ca6038ab6b77eaea3e500c634,SUCCESS,class_prevalence_mild,27d1b9a912b5f4cda8cfb08777783986d8f8f90e641645bf4061f05b7d1f95ec,breast_cancer_wisconsin_diagnostic,0.0325568,-0.0228792,0.055436,"[0.5462484, 0.4537516]","[0.4602822, 0.5397178]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00143,0.02547,0.0,0.00257,0.0,0.04229,5,,254792105615ada9c3858c991b4e81f1599ed80b154a2e45296ee62c0f435df9,c6fc632b58c7594dfc794bb7a23e7dbcb8a2199e1b51424256eb2c780ef3f81c,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,2e918326a32434bac7ee4156f8c770e7cab5bf9ad9477eed2da0b1a9bb709e29,0.2643869,SUCCESS,True,False,a20f840b95d1c61c7426e75c0d974a37d8fdaaa957d083a63202e509433ac3f7,SUCCESS,True
0.0255818,0.0026386,0.0525422,1e-07,0.4982501,0.0496498,0.0,0.5483003,0.3074638,0.318354,0.3074638,0.055944,0.9826671,2,0.031614,0.0456094,0.6303107,SUCCESS,False,0.4448014,2.017708,"[0, 1]",2.4625094,True,False,479b98f26d1b29092b572ed355f908cd0dac9cc74a8e0a71b9fe997dcffa5c26,SUCCESS,class_prevalence_severe,c07f003bc7684272e35131743cda7e81e2d3cc5cdcdee05d47015bf1be876543,breast_cancer_wisconsin_diagnostic,0.0200276,-0.0255818,0.0456094,"[0.4579126, 0.5420874]","[0.3980822, 0.6019178]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00107,0.01146,0.00286,0.00234,0.0,0.0274,1,,d6450fa0884c3e31b426ec0f543e316e6de40a62b67d002dfa545615a969986b,18b43309475a1350acc5fc5319922656bf8a6ebf812510fdc36ae71b5b1a5a8b,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,0c581b4afdfab544b6081ed93612df60c06414cca99f9eb5d25b8a47797ddbc2,0.2426248,SUCCESS,True,False,50990ddd1107464e2d13bf6fa76cd0d46d4cd668e0f1d0d264d4eafd805a1050,SUCCESS,True
0.0255819,0.0026386,0.052542,1e-07,0.4982409,0.0496497,0.0,0.5483001,0.3074637,0.3183535,0.3074637,0.055944,0.982667,2,0.0316141,0.0456095,0.6303102,SUCCESS,False,0.4448012,2.017708,"[0, 1]",2.4625091,True,False,0f86a83f176f0c3c51cb5c970010571e58c17a5cd8fb9a09b86166e8dad7448b,SUCCESS,class_prevalence_severe,c07f003bc7684272e35131743cda7e81e2d3cc5cdcdee05d47015bf1be876543,breast_cancer_wisconsin_diagnostic,0.0200276,-0.0255819,0.0456095,"[0.4579126, 0.5420874]","[0.3980825, 0.6019175]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00137,0.00761,0.0,0.00178,0.0,0.01802,2,,d6450fa0884c3e31b426ec0f543e316e6de40a62b67d002dfa545615a969986b,18b43309475a1350acc5fc5319922656bf8a6ebf812510fdc36ae71b5b1a5a8b,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,b2b478c2fed271d190564ebf2e675a80d5683f247a12e8ea671773134a72ef00,0.2426248,SUCCESS,True,False,ca0f9354d6e9308d114c835ba6db1bdd649310b5d297593abe49b1c53ec7c2e2,SUCCESS,True
0.0016112,0.0261569,0.1752142,1.48e-05,0.9472743,0.1038851,0.0,0.9551573,0.4946426,0.5588294,0.4946426,0.055944,0.9826671,2,0.031614,0.0456094,0.6303109,SUCCESS,False,0.7554655,1.7115689,"[1, 0]",2.4670344,True,False,dcc5a0d67a056fa3aca4e619d12fe52fe81ec1cf78d59ad1683c3d382607ff91,SUCCESS,class_prevalence_severe,c07f003bc7684272e35131743cda7e81e2d3cc5cdcdee05d47015bf1be876543,breast_cancer_wisconsin_diagnostic,0.0439981,-0.0016112,0.0456094,"[0.587909, 0.412091]","[0.3980821, 0.6019179]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00165,0.01319,0.0,0.00255,0.0,0.02885,3,,d6450fa0884c3e31b426ec0f543e316e6de40a62b67d002dfa545615a969986b,18b43309475a1350acc5fc5319922656bf8a6ebf812510fdc36ae71b5b1a5a8b,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,63f3369cef60f4745d3089662423f1a8f5d726e1c9b3099308e3b3cddeb8cd96,0.2426248,SUCCESS,True,False,7a6ac0ae980f2eb22d477da6e0c3274e36d6fa0df450376870e991b511af2d15,SUCCESS,True
0.0255818,0.0026386,0.0525421,1e-07,0.4982443,0.0496498,0.0,0.5483002,0.3074637,0.3183537,0.3074637,0.055944,0.982667,2,0.0316141,0.0456094,0.6303104,SUCCESS,False,0.4448012,2.017708,"[1, 0]",2.4625092,True,False,5043eab9f640e26a822617d4dfe60cf13122e47e0ec6a6144263ff09e12f69ce,SUCCESS,class_prevalence_severe,c07f003bc7684272e35131743cda7e81e2d3cc5cdcdee05d47015bf1be876543,breast_cancer_wisconsin_diagnostic,0.0200276,-0.0255818,0.0456094,"[0.4579126, 0.5420874]","[0.3980824, 0.6019176]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00136,0.00766,0.0,0.00229,0.0,0.0221,4,,d6450fa0884c3e31b426ec0f543e316e6de40a62b67d002dfa545615a969986b,18b43309475a1350acc5fc5319922656bf8a6ebf812510fdc36ae71b5b1a5a8b,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,be5b7551ca5568363a7ecaea68075607aba6b13700cf52012f8ec7ed8bba2aab,0.2426248,SUCCESS,True,False,2595619b87df2f944c3730374321dc102b3c3bd7183bdfbe976e58f651ef44a8,SUCCESS,True
0.0238569,0.0927164,0.341778,0.00064,0.9998341,0.2010975,0.0,0.9998859,0.7950975,0.8221405,0.7950975,0.055944,0.982667,2,0.0316141,0.0456094,0.6303104,SUCCESS,False,1.2400066,1.2891845,"[1, 0]",2.529191,True,False,6b934da6cedd345fe8933ab2e250db09137a148c8fd951d2783c1cabedcd419d,SUCCESS,class_prevalence_severe,c07f003bc7684272e35131743cda7e81e2d3cc5cdcdee05d47015bf1be876543,breast_cancer_wisconsin_diagnostic,0.0217526,-0.0238569,0.0456094,"[0.7485068, 0.2514932]","[0.3980824, 0.6019176]",fcm_adaptive,SUCCESS,6.3864361,0,8238be658b13bf2e82ed189da8d2011306aead144749f7102634b6ca2a19ae45,0.00091,0.01553,0.0,0.00181,0.0,0.02411,5,,d6450fa0884c3e31b426ec0f543e316e6de40a62b67d002dfa545615a969986b,18b43309475a1350acc5fc5319922656bf8a6ebf812510fdc36ae71b5b1a5a8b,70a97778df2ac411a42e111020d43fa56d09336f20c4bc65929e97cae04054c5,897534559b942d838680750a000c3705301a41d5b8d946e98170603b6b91845f,0.2426248,SUCCESS,True,False,a20f840b95d1c61c7426e75c0d974a37d8fdaaa957d083a63202e509433ac3f7,SUCCESS,True
